RTO,RTO_Office_Code,Address,Pincode,Contacts,Working_Hours,Lat,Lon,Zone
Hingoli,MH-38,"Parbhani - Hingoli Road, Limbala makta, Maharashtra",431513,91-2456-248048,10:30AM–5:00PM,19.6853937,77.107192,South
Nandurbar,MH-39,"Near Collecter office, Nandurbar, Maharashtra",425412,91-2564-210129,10AM–5:00PM,21.3463644,74.2289758,North
Wadi Nagpur,MH-40,"Kamptee Rd, Teka Naka, Nagpur, Maharashtra",440014,91-712-2630574,10AM–6.00PM,21.1785,79.1084,East
Malegaon - Nashik District,MH-41,"Vardhaman Nagar, Malegaon, Maharashtra",423105,91-2554-258850,10AM–6.00PM,20.5625,74.5243,North
Baramati - Pune,MH-42,"Airport Road, Kalyani Corner, Caterpillar Area, MIDC, Baramati, Maharashtra",413133,91-2112-243111,9:45AM–5:45PM,18.1851539,74.6012087,South
Vashi (Sanpada),MH-43,"Sector 19B, Kopri, Kopripada, B-63, Groma Marg, APMC Market 2, APMC Market, Sector 26, Vashi, Navi Mumbai, Maharashtra",400703,91-22-27650701,10:30AM–5:45PM,19.0763,73.0073,West
Ambejogai Beed,MH-44,"Latur Road, Kirmani Nagar, District Beed, Ambajogai, Maharashtra ",431517,91-2446-247755,11:30AM–5:45PM,18.4308,76.576,South
Akluj - Solapur,MH-45,"Rajhans Colony, Akluj, Maharashtra",413118,91-2181-31231,11AM–5:00PM,17.8583221,75.0019668,South
Panvel,MH-46,"Sector AWC, Kalamboli, Panvel, Navi Mumbai, Maharashtra",410218,91-22-27424444,10AM–6:00PM,19.035,73.1084,West
Vasai - Virar,MH-48,"Mu Po Chandansar, Bhatpada, Vasai, Virar, Thane, Maharashtra",401303,91-250-2523888,9AM–4:00PM,19.47,72.8416,West
Nagpur (East) - Bhandara Road,MH-49,"Dipti Signal Road, Near Water Tank, Nagpur, Maharashtra",440001,91-712-2681215,10AM–6:00PM,21.1593,79.1355,East
Karad,MH-50,"Sharda Mangal Office, Karad - Chiplun Rd, Vijaynagar, Maharashtra ",415114,91-2164-255300,10AM–5:30PM,17.2971225,74.130955,West
Sangamner - Ahmednagar,MH-51,"Regional Transport Office, Sangamner, Ahmednagar",422608,mh51@mahatranscom.in,9AM–4:00PM,19.578629,74.2026132,South
Parbhani (Rural),MH-52,"Vakil Colony, Parbhani, Maharashtra ",431401,91-2452-221100,10AM–5:00PM,19.2642,76.7783,South
